CMDLINE /usr/bin/python3 pipeline.py
MEM 1.109375 1625036437.5153
MEM 26.160156 1625036437.6156
MEM 38.152344 1625036437.7158
MEM 47.300781 1625036437.8164
MEM 55.140625 1625036437.9170
MEM 64.062500 1625036438.0173
MEM 77.761719 1625036438.1176
MEM 86.773438 1625036438.2179
MEM 93.230469 1625036438.3185
MEM 99.789062 1625036438.4189
MEM 100.046875 1625036438.5192
MEM 100.046875 1625036438.6198
MEM 100.046875 1625036438.7202
MEM 100.046875 1625036438.8206
MEM 100.046875 1625036438.9212
MEM 100.046875 1625036439.0217
MEM 100.046875 1625036439.1220
MEM 100.046875 1625036439.2227
MEM 100.046875 1625036439.3230
MEM 100.046875 1625036439.4232
MEM 100.046875 1625036439.5235
MEM 100.046875 1625036439.6241
MEM 100.046875 1625036439.7245
MEM 100.039062 1625036439.8251
MEM 100.039062 1625036439.9254
MEM 100.039062 1625036440.0259
MEM 100.039062 1625036440.1264
MEM 100.039062 1625036440.2270
MEM 100.039062 1625036440.3277
MEM 100.039062 1625036440.4285
MEM 100.039062 1625036440.5293
MEM 100.039062 1625036440.6299
MEM 100.039062 1625036440.7305
MEM 100.039062 1625036440.8309
MEM 100.039062 1625036440.9313
MEM 99.964844 1625036441.0319
MEM 99.960938 1625036441.1325
MEM 99.898438 1625036441.2332
MEM 99.691406 1625036441.3338
MEM 97.902344 1625036441.4341
MEM 97.902344 1625036441.5347
MEM 97.898438 1625036441.6351
MEM 96.031250 1625036441.7356
MEM 95.867188 1625036441.8361
MEM 95.324219 1625036441.9366
MEM 94.871094 1625036442.0370
MEM 93.832031 1625036442.1374
MEM 92.949219 1625036442.2378
MEM 91.402344 1625036442.3382
MEM 89.742188 1625036442.4385
MEM 89.156250 1625036442.5388
MEM 89.156250 1625036442.6392
MEM 89.070312 1625036442.7398
MEM 89.070312 1625036442.8405
MEM 88.992188 1625036442.9412
MEM 88.992188 1625036443.0418
MEM 88.992188 1625036443.1425
MEM 88.992188 1625036443.2431
MEM 88.992188 1625036443.3434
MEM 88.992188 1625036443.4440
MEM 88.968750 1625036443.5443
MEM 88.968750 1625036443.6448
MEM 88.968750 1625036443.7453
MEM 88.968750 1625036443.8458
MEM 88.968750 1625036443.9463
MEM 88.968750 1625036444.0468
MEM 88.968750 1625036444.1473
MEM 88.968750 1625036444.2478
MEM 88.968750 1625036444.3483
MEM 88.968750 1625036444.4488
MEM 88.968750 1625036444.5495
MEM 88.968750 1625036444.6500
MEM 88.968750 1625036444.7504
MEM 89.613281 1625036444.8510
MEM 94.960938 1625036444.9513
MEM 95.019531 1625036445.0516
MEM 95.019531 1625036445.1518
MEM 95.273438 1625036445.2521
MEM 95.531250 1625036445.3525
MEM 95.531250 1625036445.4528
MEM 95.531250 1625036445.5531
MEM 95.531250 1625036445.6534
MEM 95.531250 1625036445.7537
MEM 95.531250 1625036445.8540
MEM 95.531250 1625036445.9543
MEM 95.531250 1625036446.0546
MEM 95.531250 1625036446.1549
MEM 95.531250 1625036446.2552
MEM 95.531250 1625036446.3555
MEM 95.531250 1625036446.4558
MEM 95.925781 1625036446.5561
MEM 95.925781 1625036446.6563
MEM 95.925781 1625036446.7566
MEM 96.183594 1625036446.8570
MEM 96.183594 1625036446.9572
MEM 96.531250 1625036447.0575
MEM 96.531250 1625036447.1577
MEM 96.789062 1625036447.2579
MEM 97.046875 1625036447.3582
MEM 97.046875 1625036447.4584
MEM 97.304688 1625036447.5587
MEM 97.304688 1625036447.6590
MEM 97.562500 1625036447.7593
MEM 97.562500 1625036447.8596
MEM 97.808594 1625036447.9599
MEM 98.062500 1625036448.0601
MEM 98.062500 1625036448.1604
MEM 98.292969 1625036448.2607
MEM 98.292969 1625036448.3609
MEM 98.546875 1625036448.4611
MEM 98.730469 1625036448.5613
MEM 98.730469 1625036448.6616
MEM 98.730469 1625036448.7619
MEM 98.984375 1625036448.8621
MEM 99.167969 1625036448.9624
MEM 99.421875 1625036449.0627
MEM 99.421875 1625036449.1629
MEM 99.621094 1625036449.2632
MEM 99.621094 1625036449.3634
MEM 99.875000 1625036449.4637
MEM 99.875000 1625036449.5639
MEM 100.066406 1625036449.6642
MEM 100.320312 1625036449.7645
MEM 100.503906 1625036449.8647
MEM 100.503906 1625036449.9651
MEM 100.757812 1625036450.0654
MEM 100.953125 1625036450.1656
MEM 101.207031 1625036450.2659
MEM 101.207031 1625036450.3661
MEM 101.468750 1625036450.4664
MEM 101.468750 1625036450.5666
MEM 101.722656 1625036450.6669
MEM 101.722656 1625036450.7671
MEM 101.980469 1625036450.8674
MEM 101.980469 1625036450.9677
MEM 102.238281 1625036451.0679
MEM 102.238281 1625036451.1682
MEM 102.496094 1625036451.2684
MEM 102.496094 1625036451.3686
MEM 102.753906 1625036451.4689
MEM 102.753906 1625036451.5691
MEM 103.011719 1625036451.6694
MEM 103.269531 1625036451.7696
MEM 103.269531 1625036451.8699
MEM 103.527344 1625036451.9702
MEM 103.644531 1625036452.0704
MEM 103.644531 1625036452.1707
MEM 103.898438 1625036452.2710
MEM 103.894531 1625036452.3713
MEM 104.152344 1625036452.4717
MEM 104.152344 1625036452.5720
MEM 104.410156 1625036452.6722
MEM 104.410156 1625036452.7726
MEM 104.667969 1625036452.8729
MEM 104.636719 1625036452.9731
MEM 104.906250 1625036453.0737
MEM 104.906250 1625036453.1740
MEM 104.906250 1625036453.2743
MEM 105.160156 1625036453.3745
MEM 105.160156 1625036453.4747
MEM 105.417969 1625036453.5750
MEM 105.675781 1625036453.6753
MEM 105.933594 1625036453.7755
MEM 105.933594 1625036453.8758
MEM 106.191406 1625036453.9761
MEM 106.570312 1625036454.0763
MEM 106.570312 1625036454.1766
MEM 106.824219 1625036454.2768
MEM 107.074219 1625036454.3771
MEM 107.074219 1625036454.4774
MEM 107.328125 1625036454.5777
MEM 107.617188 1625036454.6779
MEM 107.871094 1625036454.7782
MEM 108.128906 1625036454.8785
MEM 108.128906 1625036454.9788
MEM 108.386719 1625036455.0791
MEM 108.644531 1625036455.1794
MEM 108.644531 1625036455.2797
MEM 108.902344 1625036455.3800
MEM 108.902344 1625036455.4803
MEM 109.160156 1625036455.5804
MEM 109.417969 1625036455.6807
MEM 109.570312 1625036455.7810
MEM 109.570312 1625036455.8812
MEM 109.824219 1625036455.9816
MEM 110.160156 1625036456.0818
MEM 110.160156 1625036456.1821
MEM 110.425781 1625036456.2824
MEM 110.425781 1625036456.3826
MEM 110.679688 1625036456.4829
MEM 110.679688 1625036456.5832
MEM 110.937500 1625036456.6835
MEM 110.937500 1625036456.7838
MEM 111.195312 1625036456.8840
MEM 111.195312 1625036456.9843
MEM 111.195312 1625036457.0846
MEM 111.195312 1625036457.1848
MEM 111.195312 1625036457.2853
MEM 111.195312 1625036457.3856
MEM 111.195312 1625036457.4859
MEM 111.195312 1625036457.5862
MEM 111.195312 1625036457.6864
MEM 111.195312 1625036457.7867
MEM 111.195312 1625036457.8870
MEM 111.195312 1625036457.9874
MEM 111.195312 1625036458.0876
MEM 111.195312 1625036458.1879
MEM 111.195312 1625036458.2882
MEM 111.195312 1625036458.3884
MEM 111.195312 1625036458.4891
MEM 111.195312 1625036458.5894
MEM 111.195312 1625036458.6897
MEM 111.195312 1625036458.7901
MEM 111.195312 1625036458.8904
MEM 111.195312 1625036458.9906
MEM 111.195312 1625036459.0912
MEM 111.195312 1625036459.1915
MEM 111.195312 1625036459.2918
MEM 111.195312 1625036459.3921
MEM 111.195312 1625036459.4923
MEM 111.195312 1625036459.5926
MEM 111.195312 1625036459.6928
MEM 111.195312 1625036459.7931
MEM 111.195312 1625036459.8934
MEM 111.195312 1625036459.9936
MEM 111.195312 1625036460.0939
MEM 111.453125 1625036460.1942
MEM 111.453125 1625036460.2945
MEM 111.453125 1625036460.3947
MEM 111.710938 1625036460.4950
MEM 111.710938 1625036460.5953
MEM 111.710938 1625036460.6955
MEM 111.960938 1625036460.7958
MEM 111.960938 1625036460.8960
MEM 111.960938 1625036460.9963
MEM 112.210938 1625036461.0965
MEM 112.210938 1625036461.1968
MEM 112.210938 1625036461.2971
MEM 112.464844 1625036461.3974
MEM 112.464844 1625036461.4976
MEM 112.710938 1625036461.5979
MEM 112.710938 1625036461.6982
MEM 112.710938 1625036461.7984
MEM 112.964844 1625036461.8987
MEM 112.964844 1625036461.9990
MEM 113.273438 1625036462.0993
MEM 113.273438 1625036462.1995
MEM 113.527344 1625036462.2998
MEM 113.949219 1625036462.4001
MEM 114.203125 1625036462.5003
MEM 114.460938 1625036462.6006
MEM 114.460938 1625036462.7008
MEM 114.460938 1625036462.8010
MEM 114.460938 1625036462.9013
MEM 114.718750 1625036463.0015
MEM 114.976562 1625036463.1018
MEM 114.976562 1625036463.2020
MEM 115.234375 1625036463.3023
MEM 115.234375 1625036463.4026
MEM 115.492188 1625036463.5029
MEM 115.492188 1625036463.6031
MEM 115.492188 1625036463.7034
MEM 115.492188 1625036463.8037
MEM 115.492188 1625036463.9040
MEM 115.492188 1625036464.0043
MEM 115.492188 1625036464.1045
MEM 115.492188 1625036464.2048
MEM 115.492188 1625036464.3051
MEM 115.492188 1625036464.4054
MEM 115.492188 1625036464.5057
MEM 115.492188 1625036464.6060
MEM 115.492188 1625036464.7063
MEM 115.492188 1625036464.8065
MEM 115.492188 1625036464.9071
MEM 115.492188 1625036465.0077
MEM 115.750000 1625036465.1080
MEM 115.750000 1625036465.2083
MEM 115.750000 1625036465.3086
MEM 115.750000 1625036465.4088
MEM 115.750000 1625036465.5091
MEM 116.007812 1625036465.6095
MEM 116.007812 1625036465.7099
MEM 116.007812 1625036465.8102
