pc6,bouwjaar,woningtype,epi_imputed
2341BV,1923,tussenwoning,1.451
2341CT,1925,hoekwoning,3.237
2341GJ,1922,hoekwoning,2.184
2341GK,1929,tussenwoning,2.184
2341HE,1965,meergezinspand_hoog,2.184
2341KB,1966,twee_onder_1_kap,1.451
2341NV,2005,tussenwoning,0.938
2341PK,2003,meergezinspand_hoog,1.2
2341PK,2003,meergezinspand_hoog,0.938
2341PM,2000,tussenwoning,0.938
2341PX,2009,meergezinspand_hoog,0.938
2341SV,1956,tussenwoning,2.184
2341XE,1953,meergezinspand_laag_midden,0.84
2341XT,2015,tussenwoning,0.938
2342BA,2019,twee_onder_1_kap,0.938
2342BC,2018,hoekwoning,0.938
2342BL,2007,tussenwoning,0.938
2342BJ,2016,tussenwoning,0.938
2342BR,2020,hoekwoning,0.938
2343AS,1950,meergezinspand_laag_midden,1.451
2343DH,1985,tussenwoning,1.2
2343EE,1969,meergezinspand_hoog,2.184
2343JR,1988,meergezinspand_laag_midden,1.451
2343LV,1987,meergezinspand_laag_midden,0.938
2343LX,1987,meergezinspand_laag_midden,0.938
2343MG,1984,hoekwoning,1.451
2343ML,1983,tussenwoning,1.41
2343NH,1995,tussenwoning,1.27
2343PK,1981,tussenwoning,1.451
2343PV,1984,vrijstaand,0.938
2343PZ,1994,meergezinspand_laag_midden,1.15
2343TE,1960,tussenwoning,2.612
2343TP,1969,meergezinspand_hoog,1.13
2343XR,1965,meergezinspand_hoog,1.63
2352BD,1970,meergezinspand_hoog,0.938
2352BK,1968,meergezinspand_hoog,2.184
2352DK,2006,meergezinspand_hoog,1.03
2352DR,1995,meergezinspand_laag_midden,1.13
2352DS,1995,meergezinspand_laag_midden,1.2
